CP Cost,Name,Jumpdoc,Chapter,Description
600,Annealed Vision of the Future,Tunic,Source,"A rather dangerous use of power. The ancient civilization discovered sarcophagi that contained fossils of the future. With some experimentation they discovered ways to channel the potential within to power the devices scattered in this world. There were some that believed it was possible to use these sarcophagi to access the Power to Defy Death, and while they were not incorrect, it came at a great price.

The future they were using to power their civilization was their own. Overuse of the devices created mounting contradictions that eventually tore a hole in the Canonical Plane. This hole was the cause of the ancient war, as Disquiet Beings came through and attacked.

You are armed with both the knowledge of how to access a vision of your future, along with the dangers associated with it. By drawing on the power of your future self you can accomplish a number of feats. You can endure blows by leaving them with your future self. You can draw upon their reserves as if they were your own to power your spells. You can even draw upon their stamina to force yourself to continue onward beyond your normal limits.

All of that power comes at a cost. As you use this power you will build up contradictions within yourself, too much and you will find yourself rent apart by those forces. This is not guaranteed to be your fate however. By taking on the wounds after the fact, or repaying the borrowed energy or stamina you can rid yourself of these contradictions."
800,Mantra Foci,Asura's Wrath,Source,"You can call upon a planetary population that is loyal to you, generating a temporary surge in prayer.
This generates general Mantra or your choice of a specific emotion to empower another demigod or great
example of Mantra Technology. You may direct and distribute this Mantra exactly as you see fit without error."
800,Infinite Power,Tekken,Source,"Your body is powered by a downright infinite energy source, to be a bit more accurate a perpetual power generator, that never runs out or fails to work. Your stamina is endless. You could fight on and on and on and on and never tire out. This may have more uses..."
800,Of All That is Good,Okami,Source,"You embody life and light in all its forms. Flowers grow in your footsteps and your light chases away the corruption of darkness (both of these can be toggled if you want them off). Only things of evil essence can truly harm you now.
Incompatible with ""Ruler of Darkness"""
800,Ruler of Darkness,Okami,Source,"You are the very epitome of evil; so evil, in fact, that even space and time distort around you, and you cannot be harmed by any non-holy weapon. You can also spawn lesser demons which return to you upon their death, including any power they have gained while separate from you.
Incompatible with ""Of All That is Good"""
800,THE EARTH,Duel Monsters - The Heroes,Source,"You are the protector of this world, and the world won’t sit idly while you fight for its sake. You’ve gained an innate connection with the planet, which allows you to draw on its gravitational field. You are able to manipulate gravity as you see fit, causing people and objects to fall upwards, or crushing them by concentrating these universal forces on their body. You could fly by deciding gravity does not apply to you, or even cause everything for kilometers to fall away from you. The world is your oyster with this ability. However, your manipulation is fundamentally limited by the gravity of the planet and your own body. You are also able to create a blade-shaped spatial anomaly to the planet’s core. This anomaly rapidly fills in with the molten metal of the deepest depths, and though it can not break containment, anything struck by the sheer heat and force of the world’s heart will find itself having a bad day."
1000,Dragon's Heritage,Sekiro Shadows Die Twice,Source,"Although, the immortality does come at a cost. In order to facilitate your immortality, you passively draw life energy from others, keeping you at your prime and instantly heal any wound that would be inflicted upon you. This only happens in small amounts so the signs of missing life energy, known as dragonrot, will only show during old age. A single fatal wound will be healed instantly. You can also restore your resurrective energy by killing other living beings. The stronger the living being’s life force, the more resurrective energy is extracted. Resurrective energy is automatically restored by resting for the day. But if you happen to receive a second fatal wound or lose a limb or an organ before you can restore your resurrective energy? You must draw in large amounts of life energy all those around you in the range of a large city, thus it will share the burden with all living things, but it will still draw strongly from those who are nearby, quickly inflicting the rot. You can even share this blood with others, giving them a mark of stagnation, which appears to turn a part of their skin ashen-colored and turn a streak of their hair grey. But now, they are immortal much like you, while they can’t heal instantly like you, they can instantly heal a fatal wound using their own life force, but should they die once more after, they will draw upon the life force around them much like you and spread the dragonrot.

Incompatible with ""The Renjuvenating Waters"""
1000,The Renjuvenating Waters,Sekiro Shadows Die Twice,Source,"There is said to be cursed waters in Ashina. They taste no different from normal waters and look no different. Some say these waters come from Senpo Temple, from the “strange rituals” that they began conducting there. You drank of such water and died out in the battlefield, but then awoke one day. Your wound is still there. It healed somewhat, but it turned into an ugly scar. It even still looks infected, but all you feel is a soreness from it. In fact, your sensation of pain is dulled. You did not become immortal; well, in a sense you did. You have become a form of undead with permanent red glowing eyes (which you can toggle after the Jump), cursed by the centipede that is now hosted in your stomach, which also eliminates your need for water, food, and sleep. In order to restore your body, you would need to drink more of The Rejuvenating Waters, but the more you do, the more you feel your mind literally rotting away and the centipede within you grows bigger and seems to have more influence over your actions. When you start a new Jump, the centipede will return to the size of a maggot. Know that if your body has rot enough and the centipede grows enough to completely take over your body, your chain will not end, but if the centipede dies, you shall die too which WILL result in your chain ending. As an added bonus, since you are now undead, your physical abilities are no longer capped by mortal limitations. You can go well beyond your physical limit, which will result in your muscles shredding and your bones breaking, but your sensation of pain is dulled so you might not notice at first.

Incompatible with ""Dragon's Heritage"""
1200,The Power of Creation,Duel Monsters - Duel Terminal II,Source,"To grant life with a breath and forge the world itself... the mark of a true god, once wielded by Sophia the Planetforger. Somehow, you’ve gained this overwhelming power and become a true deity, ageless and awesome. With but a thought, you may create life. That is simply it. Body, mind, and soul, all these elements can be brought into existence freely by your will. However, you may not create something you do not understand, for it is your will alone that causes it to exist. Therefore, a mind worthy of the godhood it commands must belong to you. A Godddess of Rebirth worthy of their station can not be as a child shaping clay.

This glory incarnate has transcended thanks to your previous abilities:

Magma Blacksmith: To create a thousand children yet lack the ability to forge them a world is rather sad. Your Creation ability now extends to the inanimate.

Lord: New life is wild, and though there is beauty in such, one must assert order. Your Creation now extends to hierarchies, allowing your light to forge civilizations out of wild tribes or armies out of rampaging mobs.

Zirconia: Even a god can find themselves lacking the proper abilities. By sacrificing the traits of new Creations as they're made, you may grant them traits of equal value you lack the knowledge to create properly.

Oni-Gami Combo: A pure god would never create impurity. Anything made by your Creation ability may now be similarly bereft of negativity, enjoying the same benefits as you do, though they gain no special attack.

Psychelone: A god and an usurper are very different things, but a plan is a plan. When using your Creation ability, you may draw on outside energies that you have access to, effectively stealing them by empowering new servants.

Advent of Aquamirror: A god that can not change their creations would seem undeserving of the title. Your Creation ability may now be used to alter that which it brings into being.

Dust Storm: The winds of change obey only a god. Your Creation ability can now create literal and abstract weather, allowing you to summon eternal storms where even a light rain should be impossible or dictate destiny itself.

Oracle: A god vulnerable to magic is no god. Your Creation ability can now ‘create’ the absence of magic, smothering magic by depriving it of energy, as well as raw Anti-Magic that directly counters magical effects.

Omega: A god is everything, and everything is god. Your Creation ability can now add to your own existence, allowing you to become a divine chimera or expand your own soul.

Disigma: A god can receive even the darkest of mortality with tranquility. Your Creation ability is now capable of implanting emotions and feelings in others, whether in the moment or as part of memories.

Ecology 666: A god is the beginning and the end. Your Creation ability now marks that which you bring into existence, causing it to return to you and add to your own being upon death as if you had devoured them.

Hate: A god is as wrathful as it is compassionate. Your Creation ability can now give shape to the hatred and rage you feel, rendering it eternal so long as it lives, and allowing it to grow and strengthen as a living being does.

Vylon Variant: A god can not be stopped or slowed by lesser beings. Once you’ve identified an enemy’s most threatening ability, your Creation ability may produce a counter without you needing to understand it.

Constellar Tempest: A god is the firmament of all souls. Your Creation ability can now substitute proper knowledge of the traits you wish to give with raw power.

Patient Zero: A god remembers all. Whatever your chosen victim was, you now hold the knowledge to create any and all members of their race, allowing your Creation ability to instantly repopulate them.

Jumperswarm: A god is what it is. When using your Creation ability, you may choose to grant your creations the same spark of individuality as you, allowing them to reshape themselves much like you do should they desire change.

This Perk is a Capstone Booster"
1200,The Power of Destruction,Duel Monsters - Duel Terminal II,Source,"To take life with a breath and destroy the world itself... the mark of a true god, once wielded by Sophia the Planetforger. Somehow, you’ve gained this overwhelming power and become a true deity, ageless and awesome. With but a thought, you may shine forth your divinity and erase any mortal life it touches. That is simply it. Body, mind, and soul, all these elements can be erased from existence freely by your will if they hold no divinity. However, this light of destruction’s size and reach is limited by your power, for it is your power alone that commands it. A Source of Destruction worthy of their station must wield true power before such tricks.

Your previous abilities have transcended thanks to this glory incarnate:

Magma Blacksmith: A destroyer shall not sully their hands with weaklings. Thanks to your closeness to Destruction, you’ve learned to craft weapons and tools that erase their targets from reality instead of causing harm.

Lord: The hand of a god brooks no mercy. Your followers are imbued with a fragment of Destruction Razed cities are truly gone and enemy soldiers leave no corpse or ghost.

Zirconia: A god stands unrivalled. Destruction clads your transformed form. Your strikes outright erase the harm your foes try and fail to inflict scours their own body from reality, and even space is obliterated when you move.

Oni-Gami Combo: None can withstand a god’s fury. Your special attack has gone beyond the bounds of mortal reasoning. Though it works mostly the same as before, it now causes true Destruction, even slaying other gods freely.

Psychelone: Death is not a factor to a god. You are able to ignore any effects erasing you from reality, as well continue living and acting despite not existing even if you actively allow them to take effect.

Advent of Aquamirror: A destroyer does not toil as mortals do. Thanks to your awareness of Destruction, you’ve gained the ability to enchant weapons and tools that remove their targets from existence instead of inflicting harm.

Dust Storm: Ill winds arrive at the whims of a god. The weather you command can be indefinitely imbued with Destruction, weathered cities never having been better and those caught in storms leaving not a soul or whisper.

Oracle: Mortal magic is a joke in comparison to a god. Your anti-magic has transformed thanks to your divinity, now being able to permanently destroy magical energy and cripple the ability of others to wield any kind of magic.

Omega: A broken blade wielded by a god may as well be a divine armament. As you charge your energies beyond your max, they transmute into divinity incarnate, gaining the properties of Destruction.

Disigma: The idea of a god being limited is laughable. Your ability has become indiscriminate like Destruction, allowing you to intake any emotions you understand and absorb anyone whose mental cornerstone you know.

Ecology 666: A god is a god regardless of their abilities. Integrated abilities and energies may be bound to Destruction, gaining the power to scour their targets from reality instead of dealing harm.

Hate: A god will hate as much as it loves. Your hatred is now a perfect conduit for Destruction, allowing things done with that emotion to have the same or even greater effect as your destructive light.

Vylon Variant: A god thinks in aeons. To counter an enemy's trump card is enough for mortals, but your divine forethought now allows you to devise counters to your enemy’s greatest abilities in sequence.

Constellar Tempest: A god created all the lights in the sky and may destroy them if they so wish. Your command over celestial events has grown, now allowing you to stop or outright destroy such things.

Patient Zero: What a god has made can be undone at their whims. The closer to your chosen victim someone is, the more of them you can unconditionally Destroy regardless of distance or power.

Jumperswarm: Mortals are what gods desire of them. Those you interact with can undergo the same change as you through Destruction, traits you find undesirable being replaced with more acceptable ones.

This Perk is a Capstone Booster"
